"Entire Store","تمام فروشگاه"
"Search:","جستجو:"
"Go","برو"
"Search store here...","فروشگاه را اینجا جستجو کنید..."
"Auto Select Current Category","انتخاب خودکار رده‌ی جاری"
"Show First Children","نمایش اولین فرزندان"
"Children Indentation","دندانه فرزندان"
"%s extension not registered.","اکستنشن %s ثبت نشده است."
"%s save error. Please try again later.","خطای ذخیره سازی . %s لطفا بعدا دوباره تلاش نمایید."
" or registration information for"," یا اطلاعات ثبت برای"
" is not valid. Please check them or %s"," معتبر نیست. لطفا آن‌ها را چک کنید یا %s"
"contact us.","با ما تماس بگیرید."
"%s is required.","%s الزامی است."
"%s is not valid.","%s معتبر نیست."
"Activation","فعال‌سازی"
"Serial Number","شماره سریال"
"Registration Code","کد ثبت"
"Full Name","نام کامل"
"Email Address","آدرس ایمیل"
"Configuration","پیکربندی"
"Enabled","ممکن‌شده"
"Yes","بلی"
"No","خیر"
"Catalog","کاتالوگ"
"Catalog Search by Category","جستجوی کاتالوگ با رده‌بندی"
"CODNITIVE Catalog Section","بخش کاتالوگ CODNITIVE"
"Disable Ajax Suggest","پیشنهاد اجاکس ناممکن"
"Maximal Depth","عمق نهایی"
"Set to 0 or leave empty for unlimit depth.","برای عمق نهایی نا محدود 0(صفر) وارد کنید یا خالی بگذارید."
"Enabled in Advanced Search","در جستجوی پیشرفته ممکن باشد"
"Label for Advanced Search","برچسب برای جستجوی پیشرفته"
"Top Mini Search","جستجوی کوچک بالا"
"Advanced Search","جستجوی پیشرفته"
